一	个,些,种,般,定,样,次,直,切,声,起,点,下,条,位
一一	对应,列举,二,对,分,道来,例,记
一一列	举
一一对	应
一一道	来
一丁	点儿,不识,点
一丁不	识
一丁点	儿
一七	八不
一七八	不
一万	两,多,个,元,块,五千,余,年,步,多名,名,次,倍,句,二
一万一	千
一万七	千
一万万	两
一万三	千
一万两	万,千
一万九	千
一万二	千
一万五	千
一万余	吨,顷
一万八	千
一万公	里
一万六	千
一万四	千
一万多	名,个,元,两,块,年,斤,例,只,顷
一万左	右
一三	五,四团,六八
一三六	八
一三四	团
一上	午,台,场
一下	子,子把,头,下,站,一下,手,子成,子站,子打,眼,脸,张,四周,床
一下一	下
一下二	十
一下全	部
一下十	三
一下四	周
一下子	把,成,站,打,脸,发
一下肚	子
一不	小心,做,怕苦,压众,扭众,注意,留神
一不压	众
一不小	心
一不怕	苦
一不扭	众
一不注	意
一不留	神
一专	多能
一专多	能
一世	英名,龙门,之雄
一世之	雄
一世英	名
一世龙	门
一丘	之貉,一壑
一丘一	壑
一丘之	貉
一业	为主
一业为	主
一丛	丛
一丝	不苟,一毫,不挂,丝,不紊,两气,半粟
一丝一	毫
一丝不	苟,挂,紊
一丝两	气
一丝半	粟
一两	个,天,年,次,句,万,件,千,声,只,日,点,分钟,岁,页
一两一	两
一两万	元,块
一两二	两
一两分	钟
一两千	元,块,架
一两半	两
一两句	话
一两百	年,元,万,个
一个	个,月,多月,多,半,劲儿,劲地,家,天,团,打,班,点,名,头
一个一	岁,米,号,尺
一个七	品,八,十,岁
一个万	里
一个三	十,岁,天,层,维,品,面
一个两	岁
一个九	头,品,岁,曲
一个二	十,元,维,重,两
一个五	岁,十,品,尺,百,袋
一个亿	万
一个八	品,岁
一个六	品,岁,十,口,尺,层
一个几	亿,万,岁
一个劲	儿,地
一个十	二,岁,一,个
一个千	年
一个半	月,头,桩
一个四	十,品,岁,圈
一个多	月,元,亿,头,项
一个心	眼
一个情	节
一个愿	打,挨
一个数	万
一个整	团
一个样	儿
一个甲	子
一个男	孩
一个百	里
一个箭	步
一个系	列
一个终	生,日
一个肚	子
一个脚	印
一个舒	服
一个鼻	孔
一中	全会,一台,院
一中一	台
一中全	会
一串	串,骊珠,红
一串骊	珠
一举	成名,一动,两得,三得,数得,多得,四得,万里,三反,两全,中标,之劳,千里,手一
一举一	动
一举万	里
一举三	得,反
一举两	得,全
一举中	标
一举之	劳
一举千	里
一举四	得
一举多	得
一举成	名
一举手	一
一举数	得
一之	为甚,已甚,谓甚
一之为	甚
一之已	甚
一之谓	甚
一乙	醇胺
一乙醇	胺
一九	五,七,八,六,四,九,九七,三,九六,四八,七七,二,二九,七八,七六
一九一	一
一九七	七,八,六
一九九	七,六,八,三,二
一九二	九
一九八	九
一九六	六
一九四	八,三,一,二
一买	一卖
一买一	卖
一乱	涂地
一乱涂	地
一乾	二净
一乾二	净
一了	百了,百当
一了百	了,当
一事	无成,不明,不知
一事不	明,知
一事无	成
一二	九,日,年,百,十年,个,三,次,百年,八,十,点,里,千,例
一二万	贯
一二三	四
一二分	钟
一二十	年,万,个,户,里,两,匹,天,日,页,首,件,元,卷,岁
一二千	米,两
一二百	年,两,个,里,名,米,万,元,斤,辆,分,号,块,招,首
一五	一十,五年,日元,零
一五一	十
一五五	年
一五日	元
一些	则,种,片,半,篇,半些,支,第三,丝,余部,场次,系列,纸,美金
一些余	部
一些半	些
一些场	次
一些第	三
一些系	列
一些美	金
一亲	芳泽
一亲芳	泽
一人	之下,得道,之交,份,传虚,善射,班,向隅
一人之	下,交
一人传	虚
一人向	隅
一人善	射
一人得	道
一亿	多,次,多年,人,人次,分,年,担
一亿人	次
一亿多	年
一介	书生,不取,不苟,之善,之士,之才,武夫
一介不	取,苟
一介之	善,士,才
一介书	生
一介武	夫
一仍	其旧,旧贯
一仍其	旧
一仍旧	贯
一代	代,人,宗师,宗臣,文宗,新人,楷模,英豪,谈宗,豪杰,风流,鼎臣
一代宗	师,臣
一代文	宗
一代新	人
一代楷	模
一代英	豪
一代谈	宗
一代豪	杰
一代风	流
一代鼎	臣
一以	贯之,当十,当百
一以当	十,百
一以贯	之
一件	件
一休	哥
一伙	人,儿
一会	儿,儿站,儿开,一节,儿打,儿门,儿天,家,儿回,儿头,儿张,儿摊,儿步,儿记,开
一会一	节
一会儿	站,开,打,门,天,回,头,张,摊,步,记
一传	十
一位	数
一体	化,机,式,同心
一体同	心
一佛	出世
一佛出	世
一便	士
一倡	一和,三叹,百和
一倡一	和
一倡三	叹
一倡百	和
一偏	之见,之论
一偏之	见,论
一元	论,化,醇,复始,函数,大武,方程,说,酸
一元函	数
一元复	始
一元大	武
一元方	程
一兆	元
一党	制,独大
一党独	大
一八	九,九九
一八九	九
一公	顷
一六	六,四四,角
一六四	四
一兵	一卒
一兵一	卒
一内	一外
一内一	外
一再	嘱咐,声明,强调,表示,说明
一再嘱	咐
一再声	明
一再强	调
一再表	示
一再说	明
一写	出,到
一决	雌雄,胜负
一决胜	负
一决雌	雄
一准	儿
一出	场,头,戏
一击	必杀
一击必	杀
一刀	切,两断,两段,斩
一刀两	断,段
一分	钟,为二,一毫,高下,之差,收获,耕耘,货,钱,钱一,一秒
一分一	毫,秒
一分为	二
一分之	差
一分收	获
一分耕	耘
一分钱	一
一分高	下
一切	众生,万物,从严,办法,就简,权利,正常,照旧,都在,都是,顺利
一切万	物
一切从	严
一切众	生
一切办	法
一切就	简
一切权	利
一切正	常
一切照	旧
一切都	在,是
一切顺	利
一则	以喜,以忧,以惧
一则以	喜,忧,惧
一删	而空
一删而	空
一别	多年
一别多	年
一刹	那
一刻	起,钟,里,不停,间,多,千金,一刻
一刻一	刻
一刻不	停
一刻千	金
一前	一后
一前一	后
一剑	之任
一剑之	任
一剪	梅
一副	副
一力	承当
一力承	当
一加	仑
一动	不动
一动不	动
一劳	永逸,久逸
一劳久	逸
一劳永	逸
一勇	之夫
一勇之	夫
一包	在内
一包在	内
一匙	之量
一匙之	量
一匡	天下,九合
一匡九	合
一匡天	下
一十	六年,八年,五,八,三招,三,二年,五年,三拳,九,七路,三年,六,七,二
一十七	路,招,员,种,个,具,名,岁,枝
一十三	招,拳,年,处,名,万,层,岁,记,载,道
一十九	句,名,岁,道
一十二	年,个,员,路
一十五	年,员,名,个,位,种,万,岁,里
一十八	年,名,岁,个,位,架,天,手,日,次
一十六	年,招,员,名,岁,枚,下
一十四	个,员,遍,年
一千	多年,两,多,个,年,五百,余,名,块,万,元,文,次,份,三百
一千一	百,万
一千七	百
一千万	元,两,年,斤,镑
一千三	百
一千两	千,百
一千二	百
一千五	百
一千余	名,里,年,匹,页
一千八	百,声
一千公	里
一千六	百
一千几	百
一千四	百
一千多	年,里,个,名,万,元,块,只,吨,匹,家,度,米,遍,部
一千左	右
一千有	余
一千美	元
一千零	七,五,六
一半	左右,儿,多,则,路,分,站,摊,一半,处,折,脸
一半一	半
一半左	右
一华	里
